"Carrefour","Réponses","Seul","2 personnes","3-5 personnes","6 personnes et plus","Vert","Clignotant","Rouge","Oui","Non","Trottoir","Chaussée","Terre-plein/refuge/2 temps","Piste cyclable","Ne s'applique pas","Homme","Femme","15-19 ans","20-34 ans","35-64 ans","65 ans et plus","Schéma","Oui","Non","Ligne droite","Diagonale","Autres (préciser)","Trottoir","Terre-plein","Autres",0,"1-5 personnes","Plus de 5 personnes","Plus de 20 personnes","Mouvement tête avant","Mouvement tête pendant","Course (accélaration)","Hésitation","Aucune attention","Dispositif visuel (journal…)","Dispositif auditif (tél, casque…)",,
"CF",168,,1,,,,,1,1,,1,,,,,1,,,,,1,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",169,1,,,,,,1,,1,,,,,1,,1,,,,1,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",170,1,,,,,,1,,1,1,,,,,1,,,,,1,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",171,1,,,,1,,,1,,,,,,1,,1,,,1,,"CF1",1,,1,,,1,,,1,,,,,1,,,,,,,
"CF",172,1,,,,1,,,1,,1,,,,,,1,,,1,,"CF5",1,,1,,,1,,,1,,,,1,,1,,,,,,
"CF",173,1,,,,,,1,,1,,1,,,,1,,,1,,,"CF1",1,,1,,,1,,,,1,,,1,,,,,,,,
"CF",174,1,,,,,,1,,1,1,,,,,1,,,,,1,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",175,,,1,,1,,,1,,,,,,1,,1,,1,,,"CF5",1,,1,,,1,,,,1,,,,,,,1,,,,
"CF",176,,,1,,1,,,1,,,,,,1,1,,,,1,,"CF5",1,,1,,,1,,,,2,,,,1,,,,,,,
"CF",177,1,,,,,,1,1,,,1,,,,,1,,,1,,"CF5",1,,1,,,1,,,,,1,,1,,,,,,,,
"CF",178,1,,,,,,1,1,,1,,,,,,1,,,1,,"CF1",1,,1,,,1,,,,1,,,1,,,,,,,,
"CF",179,1,,,,1,,,1,,1,,,,,,1,,,1,,"CF1",1,,1,,,1,,,1,,,,,1,,,,,,,
"CF",180,1,,,,,,1,,1,,,,,1,,1,,,1,,"CF1",1,,1,,,1,,,1,,,,,1,1,,,,,,
"CF",181,,1,,,,,1,,1,1,,,,,,1,,,,1,"CF5",1,,1,,,1,,,1,,,,1,1,1,1,,,,,
"CF",182,1,,,,1,,,1,,1,,,,,,1,,,1,,"CF5",1,,1,,,1,,,,1,,,1,,,,,,,,
"CF",183,1,,,,1,,,1,,,,,,1,1,,,,,1,"CF5",1,,1,,,1,,,1,,,,,1,,,,,,,
"CF",184,1,,,,,,1,1,,,1,,,,1,,,,,1,"CF1",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",185,1,,,,1,,,1,,,,,,1,1,,,1,,,"CF1",1,,1,,,1,,,1,,,,,,,,1,,,,
"CF",186,1,,,,,,1,,1,,,,,1,,1,,1,,,"CF5",1,,1,,,1,,,1,,,,1,,,,,,1,,
"CF",187,1,,,,1,,,1,,,,,,1,1,,,,1,,"CF5",1,,1,,,1,,,1,,,,1,,,,,,,,
"CF",188,1,,,,,,1,,1,,1,,,,,1,,,,1,"CF5",1,,,1,,1,,,1,,,,,1,,,,,,,
"CF",189,1,,,,,,1,1,,1,,,,,1,,,1,,,"CF1",1,,1,,,1,,,,1,,,1,,,,,,1,,
"CF",190,,1,,,,,1,1,,1,,,,,,1,,,1,,"CF5",1,,1,,,1,,,,2,,,,1,,,,,,,
"CF",191,,1,,,,,1,1,,,1,,,,,1,,,,1,"CF8",1,,1,,,1,,,,1,,,1,1,,,,,,,
"CF",192,1,,,,1,,,1,,1,,,,,1,,,,1,,"CF2",1,,1,,,1,,,,1,,,,1,,,,,,,
"CF",193,,1,,,,,1,1,,1,,,,,,1,,1,,,"CF8",1,,,1,,1,,,,3,,,,1,,,,,,,
"CF",194,1,,,,,,1,1,,,1,,,,1,,1,,,,"CF8",1,,1,,,1,,,,1,,,,1,,,,1,,,
"CF",195,1,,,,,,1,1,,,1,,,,,1,,1,,,"CF2",,,1,,,1,,,,1,,,1,1,,,,,,,
"CF",196,1,,,,1,,,1,,1,,,,,,1,1,,,,"CF8",1,,,1,,1,,,1,,,,1,1,,,,,,,
"CF",197,1,,,,,,1,1,,1,,,,,1,,,1,,,"CF2",1,,1,,,1,,,1,,,,1,1,,,,,,,
